,good_id,item_name,category_id,category_name,min,avg,max,usd,measure,currency_code,city
0,4,"Private Preschool or Kindergarten, Monthly for 1 Child",2,Childcare,750.0,850.0,1000.0,"{'min': '750.00', 'avg': '850.00', 'max': '1000.00'}",money,USD,Willingboro
1,5,"Pair of Jeans in a Chain Store Like George, H&M, Zara, etc.",3,Clothing And Shoes,14.99,36.67,58.35,"{'min': '14.99', 'avg': '36.67', 'max': '58.35'}",money,USD,Willingboro
2,6,Pair of Leather Business Shoes,3,Clothing And Shoes,75.0,91.67,150.0,"{'min': '75.00', 'avg': '91.67', 'max': '150.00'}",money,USD,Willingboro
3,7,"Pair of Running Shoes, Mid-Range Price",3,Clothing And Shoes,50.0,72.67,95.34,"{'min': '50.00', 'avg': '72.67', 'max': '95.34'}",money,USD,Willingboro
4,9,"Apples, 1 kg",4,Markets,4.17,4.41,6.61,"{'min': '4.17', 'avg': '4.41', 'max': '6.61'}",money,USD,Willingboro
5,10,"Banana, 1 kg",4,Markets,0.55,0.87,4.41,"{'min': '0.55', 'avg': '0.87', 'max': '4.41'}",money,USD,Willingboro
6,11,"Beef Round or Equivalent Back Leg Red Meat, 1 kg ",4,Markets,7.72,8.8,10.12,"{'min': '7.72', 'avg': '8.80', 'max': '10.12'}",money,USD,Willingboro
7,12,"Bottle of Wine, Mid-Range Price",4,Markets,8.99,10.0,20.0,"{'min': '8.99', 'avg': '10.00', 'max': '20.00'}",money,USD,Willingboro
8,13,"Chicken Breasts, Boneless and Skinless, 1 kg",4,Markets,7.69,9.74,12.72,"{'min': '7.69', 'avg': '9.74', 'max': '12.72'}",money,USD,Willingboro
9,14,"Domestic Beer, 0.5 liter Bottle",4,Markets,0.66,1.53,3.0,"{'min': '0.66', 'avg': '1.53', 'max': '3.00'}",money,USD,Willingboro
10,15,"Eggs, 12 pack",4,Markets,1.69,2.0,2.5,"{'min': '1.69', 'avg': '2.00', 'max': '2.50'}",money,USD,Willingboro
11,17,"Lettuce, 1 head",4,Markets,0.9,1.0,1.1,"{'min': '0.90', 'avg': '1.00', 'max': '1.10'}",money,USD,Willingboro
12,18,"Loaf of Fresh White Bread, 0.5 kg",4,Markets,1.1,1.83,2.56,"{'min': '1.10', 'avg': '1.83', 'max': '2.56'}",money,USD,Willingboro
13,19,"Local Cheese, 1 kg",4,Markets,4.39,7.34,11.02,"{'min': '4.39', 'avg': '7.34', 'max': '11.02'}",money,USD,Willingboro
14,20,"Milk, Regular,1 liter",4,Markets,0.86,0.95,1.06,"{'min': '0.86', 'avg': '0.95', 'max': '1.06'}",money,USD,Willingboro
15,21,"Onion, 1 kg",4,Markets,1.87,2.65,4.41,"{'min': '1.87', 'avg': '2.65', 'max': '4.41'}",money,USD,Willingboro
16,22,"Oranges, 1 kg",4,Markets,3.31,4.41,6.61,"{'min': '3.31', 'avg': '4.41', 'max': '6.61'}",money,USD,Willingboro
17,23,Pack of Cigarettes,4,Markets,8.55,9.27,13.0,"{'min': '8.55', 'avg': '9.27', 'max': '13.00'}",money,USD,Willingboro
18,24,"Potato, 1 kg",4,Markets,1.74,3.31,6.61,"{'min': '1.74', 'avg': '3.31', 'max': '6.61'}",money,USD,Willingboro
19,25,"White Rice, 1 kg",4,Markets,2.2,3.79,5.38,"{'min': '2.20', 'avg': '3.79', 'max': '5.38'}",money,USD,Willingboro
20,26,"Tomato, 1 kg",4,Markets,3.97,4.41,4.85,"{'min': '3.97', 'avg': '4.41', 'max': '4.85'}",money,USD,Willingboro
